time,open,high,low,close,Fundezy Fast SMA (5),Fundezy Slow SMA (200),Fundezy SuperTrend,Fundezy Fast MA,Fundezy Medium MA,Fundezy Slow MA,Fundezy Coloured MA,Fundezy 3xMA Direction,Fundezy LONG Entry,Fundezy SHORT Entry,Fundezy ColouredMA Arrow,Buy Signal,EMA,VIX · TVC: close,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
1780084800,4576.9,4580.7,4567.3,4569.9,4582.639999999994,4517.871500000005,,4560.541493884499,4527.933855913369,4520.395063780327,4540.383641975304,,0,0,,0,4530.481889413048,15.31,57.62136514997363,67.07760841070053,,,,
1780264800,4575.2,4575.2,4545.5,4565.9,4576.239999999993,4517.9600000000055,,4561.0286308040895,4529.289789630749,4521.406284585209,4544.120061728391,,0,0,,0,4531.8708349262615,,55.740444521687515,66.01354475692474,,,,
1780268400,4566.2,4576.4,4565.9,4570.7,4573.4999999999945,4518.086500000006,,4561.907846185536,4530.768725715365,4522.501700483315,4547.56419753086,,0,0,,0,4533.393547282094,,57.5319382644168,65.53134762387964,,,,
1780272000,4570.5,4577.3,4565.5,4571.4,4570.939999999993,4518.224500000006,,4562.770769259579,4532.219842654102,4523.588329361464,4550.6793209876505,,0,0,,0,4534.883996408286,,57.80020085717255,64.72557531527666,,,,
1780275600,4571.2,4572.1,4554.4,4556.2,4566.819999999993,4518.249000000006,,4562.1734265996165,4533.076276845027,4524.313033153432,4553.379629629625,,0,0,,0,4535.719918117766,,50.36106015527833,63.25645864659508,,,,
1780279200,4556.1,4565.7,4551.4,4552,4563.239999999993,4518.2055000000055,,4561.248569636015,4533.752124100562,4524.928299083356,4555.780246913576,,0,0,,0,4536.3583527013825,,48.50344231654733,61.676015012479596,,,,
1780282800,4551.7,4556.3,4540.3,4546.8,4559.419999999994,4518.207500000007,,4559.935063305468,4534.218119668399,4525.414336881504,4557.927777777773,,0,0,,0,4536.767829066034,,46.22979941823187,60.541516651956044,,,,
1780286400,4546.9,4550.1,4537.6,4544.7,4554.219999999994,4518.2060000000065,,4558.550057550426,4534.592472537384,4525.842907173026,4559.831481481477,,0,0,,0,4537.078894592856,,45.306149322762046,59.06327424570089,,,,
1780290000,4544.8,4555.4,4542.7,4548.2,4549.579999999994,4518.207500000006,,4557.60914322766,4535.078455661049,4526.33973145807,4561.492901234564,,0,0,,0,4537.515016373529,,47.19960892013109,57.26316927866693,,,,
1780293600,4548.1,4548.6,4529.1,4531.7,4544.679999999993,4518.196000000005,,4555.2537665705995,4534.957796530297,4526.458848536779,4562.954629629625,,0,0,,0,4537.286976515744,,40.14394101858608,54.86497737369518,,,,
1780297200,4531.6,4540.2,4522.1,4532.7,4540.819999999994,4518.151500000006,,4553.20342415509,4534.877160939929,4526.5975407915175,4564.3049382716,,0,0,,0,4537.107095083754,,40.72229252256847,52.66787774925797,,,,
1780300800,4533,4534.5,4519.6,4527.4,4536.939999999993,4518.2550000000065,,4550.857658322809,4534.610119477788,4526.615373218373,4565.42469135802,,0,0,,0,4536.726424688312,15.92,38.59384776474163,50.80407496676242,,,,
1780304400,4527.6,4536.2,4518.6,4525.6,4533.1199999999935,4518.398500000007,,4548.56150756619,4534.288329496439,4526.592809369075,4566.124382716045,,0,0,,0,4536.290094308379,15.88,37.86990260193586,48.89555832585587,,,,
1780308000,4525.9,4540.9,4525.9,4534.1,4530.299999999994,4518.510500000007,,4547.246825060172,4534.281603442994,4526.7596358275405,4566.383333333328,,0,0,,0,4536.20420825707,15.8,43.280566757944854,47.63603997085558,,,,
1780311600,4534.2,4542.8,4529.7,4536,4531.1599999999935,4518.634500000006,,4546.224386418338,4534.342974748602,4526.964977253595,4566.216049382711,,0,0,,0,4536.196200090126,15.79,44.44520081010242,46.69488537515049,,,,
1780315200,4535.8,4540.4,4527.6,4532,4531.019999999994,4518.771500000006,,4544.931260380307,4534.259297079008,4527.07686664796,4565.705555555551,,0,0,,0,4536.031643223846,15.84,42.468175285081934,45.746866143964375,,,,
1780318800,4532.3,4533.8,4476.2,4480.1,4521.559999999994,4518.6880000000065,,4539.037509436643,4532.325036469044,4526.032936278005,4564.691975308637,,0,0,,0,4533.838245450362,16.08,26.18978661783693,43.50814102635153,,,,
1780322400,4479.1,4494.9,4476,4488.5,4514.139999999994,4518.695500000006,,4534.443190396948,4530.759856595149,4525.198871027383,4563.282716049378,,0,0,,0,4532.060275040543,16.08,30.812251516213706,41.58043035914018,,,,
1780326000,4489,4510.5,4485,4504.1,4508.139999999994,4518.789000000007,,4531.6847185426805,4529.807718859608,4524.730007226774,4561.552469135797,,0,0,,0,4530.963793666404,16.05,38.5135912893592,40.7341825830031,,,,
1780329600,4504.7,4513.1,4493.1,4510.6,4503.059999999993,4518.904000000006,,4529.767925947891,4529.121728900336,4524.416007066179,4559.544135802465,,0,0,,0,4530.165213522623,16.02,41.43856673954161,40.229548613216984,,,,
